Excel Row,Organization Name,Country,Website,Google Drive ID,Google Drive URL,LOCAL FILE (fill this in)
80,"Ondamind aps","Italy","www.ondamind.eu","1uaVR58oKY4nrFd-nra1wAaGG4r7c1EQO","https://drive.google.com/open?id=1uaVR58oKY4nrFd-nra1wAaGG4r7c1EQO",""
81,"BÜYÜK ORTADOĞU SAĞLIK VE EĞİTİM VAKFI","Turkey","http://bosev.org/","1K6HLPGEfev1fjB1GplEjP9lBAsXUpnXS","https://drive.google.com/open?id=1K6HLPGEfev1fjB1GplEjP9lBAsXUpnXS",""
82,"WeEurope Srl SB","Italy","https://www.resolve-consulenza.it/servizi/future/europe/","1qG5jIBr3ZKZR2w26huKd6O_hMcv2gzns","https://drive.google.com/open?id=1qG5jIBr3ZKZR2w26huKd6O_hMcv2gzns",""
83,"Bursa Metropolitan Municipality","Turkey","https://www.bursa.bel.tr/","1yU8r1LM8ncSfDohleEWvWOr5zDIO8XrW","https://drive.google.com/open?id=1yU8r1LM8ncSfDohleEWvWOr5zDIO8XrW",""
84,"SALT GENCLİK DERNEGİ (SALT Youth Association)","Turkey","- (updating)","15TAkk_7iMeCOKfHBFc9joIRZ5UDisumM","https://drive.google.com/open?id=15TAkk_7iMeCOKfHBFc9joIRZ5UDisumM",""
85,"Forma Mentis APS","Italy","www.assoformamentis.it","1r3P1C1AjvDsHGpSjBSnR9JFxeiRej9-o","https://drive.google.com/open?id=1r3P1C1AjvDsHGpSjBSnR9JFxeiRej9-o",""
86,"Erasmus Mundus Association","Belgium","https://www.em-a.eu/","1tWYykGtPieidDvfRjv12lJ_r5QAHtGWx","https://drive.google.com/open?id=1tWYykGtPieidDvfRjv12lJ_r5QAHtGWx",""
87,"Social Fund Enterprise","Turkey","https://www.instagram.com/socialfundenterprise0776/","1687EQCttSd7oGxk9FvVkBf1muxH8wPHv","https://drive.google.com/open?id=1687EQCttSd7oGxk9FvVkBf1muxH8wPHv",""
88,"George","Greece","George","17SlGMgG2cP6zUMKKDIqlCVmLvhm7-cr1","https://drive.google.com/open?id=17SlGMgG2cP6zUMKKDIqlCVmLvhm7-cr1",""
89,"The Daring Hub for Training and Development","Jordan","https://www.i-dare.org/daring-hub","1CfFBpKuargOoDnuaPg8CWlT_t3mc9363","https://drive.google.com/open?id=1CfFBpKuargOoDnuaPg8CWlT_t3mc9363",""
90,"Tmelník z.s.","Czech Republic","http://www.tmelnik.cz/","1WBN6CGAEX5WLuCI8PznVsjhMl-PyAot1","https://drive.google.com/open?id=1WBN6CGAEX5WLuCI8PznVsjhMl-PyAot1",""
91,"United Efforts Network for Progressive Development","Latvia","uenpd.org","1X4jxYlZOjsQjRvPwzb62MDOKWtNVrB0b","https://drive.google.com/open?id=1X4jxYlZOjsQjRvPwzb62MDOKWtNVrB0b",""
92,"Outreach Armenia NGO","Armenia","https://www.facebook.com/profile.php?id=100068285236068","1zdiwiSTSKnl69j3n3ouMQzzrcx72jqd3","https://drive.google.com/open?id=1zdiwiSTSKnl69j3n3ouMQzzrcx72jqd3",""
